,20.0,40.0,60.0,80.0
2017-09-08,231.6384193159678,163.79309708166818,133.73650374673372,115.81920965776574
2017-09-09,233.00200363154406,164.75729679792826,134.52376951839443,116.50100181557472
2017-09-10,229.5537793124516,162.31903399884195,132.53293627954022,114.77688965597666
2017-09-11,224.24430795988627,158.56467080092534,129.467511564882,112.1221539796086
2017-09-12,217.41462777195284,153.73535762670045,125.52439386989961,108.70731388550587
2017-09-13,221.03339397582454,156.29421174898795,127.61368951183924,110.5166969875178
2017-09-14,225.525445953986,159.4705721641897,130.20717693064458,112.76272297668027
2017-09-15,230.67108100008465,163.10908559880278,133.17801070966115,115.33554049980975
2017-09-16,231.08621370852066,163.40262875203416,133.4176876906261,115.5431068540338
2017-09-17,231.29347682891483,163.5491859099461,133.53735110897875,115.64673841423391
2017-09-18,225.89093676340744,159.7290131939937,130.41819314785033,112.94546838139709
2017-09-19,220.28943807502435,155.76815548662836,127.18416637224703,110.14471903710276
2017-09-20,219.2923228548174,155.06308855279508,126.60848163144748,109.64616142697855
2017-09-21,224.38734083447966,158.66581031648272,129.55009163353145,112.19367041690775
2017-09-22,233.4507921074757,165.07463817258488,134.78287766578276,116.72539605354719
2017-09-23,237.8494762795759,168.1849775789569,137.32245915662492,118.92473813965677
2017-09-24,232.39965689216183,164.33137333388612,134.1760044662666,116.19982844587452
2017-09-25,224.0624718460354,158.4360932517581,129.3625284356018,112.03123592267998
2017-09-26,217.0273238845261,153.46149242152106,125.30078386623556,108.513661941784
2017-09-27,221.5266627523698,156.6430054458311,127.89847837276047,110.76333137580015
2017-09-28,224.35153345522042,158.6404906757941,129.52941823347714,112.17576672727753
2017-09-29,229.7252957635543,162.44031444450027,132.63196134875477,114.86264788153058
2017-09-30,235.61862452444845,166.6075271750863,136.03447629527997,117.80931226206403
2017-10-01,235.7678301234902,166.71303146598746,136.1206201880513,117.88391506158689
2017-10-02,227.82521915131548,161.09675738721592,131.5349516051978,113.91260957538232
2017-10-03,221.00728742179808,156.2757516276024,127.59861688584444,110.50364371050405
2017-10-04,220.91526694613785,156.21068332525485,127.54548883945105,110.45763347267211
2017-10-05,223.6686167426755,158.157595637367,129.1351360856553,111.8343083709932
2017-10-06,235.21776982189306,166.32408009664678,135.80304272485367,117.60888491078087
2017-10-07,237.1727003562865,167.7064247342812,136.93172239513274,118.5863501780035
2017-10-08,233.47264968099032,165.09009381102723,134.79549714173524,116.73632484030477
2017-10-09,227.25804979974444,160.69570809263732,131.20749622739217,113.62902489958795
2017-10-10,224.3828701585512,158.66264907121726,129.54751048758072,112.19143507894346
2017-10-11,218.5922647525813,154.56807272147907,126.20430289767309,109.29613237584554
2017-10-12,230.71966430251422,163.1434391813991,133.20606029239698,115.35983215102524
2017-10-13,235.5539608398979,166.5618030452473,135.9971426995979,117.77698041978789
2017-10-14,237.08746928115642,167.64615726308514,136.88251421096305,118.54373464043736
2017-10-15,232.82560575633,164.63256466417945,134.42192615765512,116.41280287796505
2017-10-16,222.9563592252362,157.65395351683372,128.72391401622937,111.47817961226097
2017-10-17,221.20943879505597,156.41869423445905,127.71532903561194,110.604719397137
2017-10-18,221.31895278842887,156.49613232180843,127.77855696916583,110.65947639382567
2017-10-19,229.4636849754167,162.25532768217766,132.48092028980062,114.73184248745787
2017-10-20,235.14453109710234,166.2722924977029,135.76075832738064,117.57226554838448
2017-10-21,237.3482041589551,167.83052466325512,137.03304956284725,118.67410207934003
2017-10-22,233.2051907570036,164.90097179218967,134.64107965997434,116.6025953783075
2017-10-23,228.85666827959176,161.8261020602707,132.13045903706353,114.42833413953628
2017-10-24,224.1186193182712,158.4757955101224,129.39494519381148,112.0593096587989
2017-10-25,222.800564782452,157.54379020987054,128.63396605274966,111.40028239086605
2017-10-26,226.53277832530108,160.18286371485547,130.78876054638673,113.26638916235454
2017-10-27,233.77959038249148,165.30713366247946,134.9727094383722,116.88979519105986
2017-10-28,237.95133769537264,168.25700447684216,137.3812688724552,118.97566884755678
